postcode,suburb,year2006,year2007,year2008,year2009,year2010,year2011,year2012,year2013,year2014,year2015,year2016,year2017,year2018
3960,Boolarong,6,13,13,12,11,11,8,9,10,8,11,8,2
3962,Toora,3,4,2,2,2,5,1,3,3,4,3,1,0
3971,Calrossie,13,10,12,11,7,14,9,8,16,7,7,2,0
3975,Lynbrook,20,28,19,26,20,16,27,28,36,35,34,24,2
3976,Hampton Park,44,63,48,39,48,47,45,34,41,37,40,32,2
3977,Botanic Ridge,137,148,158,150,124,147,151,137,166,206,195,149,8
3978,Cardinia,27,26,21,19,18,24,29,14,26,29,37,32,2
3979,Glen Alvie,1,3,1,2,1,1,2,1,1,6,2,0,0
3980,Tooradin,10,14,11,9,6,6,10,9,7,7,8,1,0
3981,Catani,11,18,15,15,15,24,18,15,28,33,19,15,1
3984,Caldermeade,15,20,11,20,10,21,23,18,17,19,21,10,1
3987,Nyora,3,2,2,4,3,3,3,3,1,3,7,2,0
3988,Mountain View,3,7,4,10,2,6,8,10,6,4,4,4,2
3990,Glen Forbes,2,3,1,0,2,3,1,1,0,1,3,1,1
3991,Caltex Bass,5,6,2,1,1,2,3,5,2,5,5,5,0
3992,Dalyston,3,4,4,4,4,5,9,2,6,5,9,3,0
